t,value
1505319215,1
1505319220,1
1505319225,1
1505319230,1
1505319235,1
1505319240,1
1505319245,1
1505319250,1
1505319255,1
1505319260,1
1505319265,1
1505319270,1
1505319275,1
1505319280,1
1505319285,1
1505319290,1
1505319295,1
1505319300,1
1505319305,1
1505319310,1
1505319315,1
1505319320,1
1505319325,1
1505319330,1
1505319335,1
1505319340,1
1505319345,1
1505319350,1
1505319355,1
1505319360,1
1505319365,1
1505319370,1
1505319375,1
1505319380,1
1505319385,1
1505319390,1
1505319395,1
1505319400,1
1505319405,1
1505319410,1
1505319415,1
1505319420,1
1505319425,1
1505319430,1
1505319435,1
1505319440,1
1505319445,1
1505319450,1
1505319455,1
1505319460,1
1505319465,1
1505319470,1
1505319475,1
1505319480,1
1505319485,1
1505319490,1
1505319495,1
1505319500,1
1505319505,1
1505319510,1
1505319515,1
1505319520,1
1505319525,1
1505319530,1
1505319535,1
1505319540,1
1505319545,1
1505319550,1
1505319555,1
1505319560,1
1505319565,1
1505319570,1
1505319575,1
1505319580,1
1505319585,1
1505319590,1
1505319595,1
1505319600,1
1505319605,1
1505319610,1
1505319615,1
1505319620,1
1505319625,1
1505319630,1
1505319635,1
1505319640,1
1505319645,1
1505319650,1
1505319655,1
1505319660,1
1505319665,1
1505319670,1
1505319675,1
1505319680,1
1505319685,1
1505319690,1
1505319695,1
1505319700,1
1505319705,1
1505319710,1
1505319715,1
1505319720,1
1505319725,1
1505319730,1
1505319735,1
1505319740,1
1505319745,1
1505319750,1
1505319755,1
1505319760,1
1505319765,1
1505319770,1
1505319775,1
1505319780,1
1505319785,1
1505319790,1
1505319795,1
1505319800,1
1505319805,1
1505319810,1
1505319815,1
1505319820,1
1505319825,1
1505319830,1
1505319835,1
1505319840,1
1505319845,1
1505319850,1
1505319855,1
1505319860,1
1505319865,1
1505319870,1
1505319875,1
1505319880,1
1505319885,1
1505319890,1
1505319895,1
1505319900,1
1505319905,1
1505319910,1
1505319915,1
1505319920,1
1505319925,1
1505319930,1
1505319935,1
1505319940,1
1505319945,1
1505319950,1
1505319955,1
1505319960,1
1505319965,1
1505319970,1
1505319975,1
1505319980,1
1505319985,1
1505319990,1
1505319995,1
1505320000,1
1505320005,1
1505320010,1
1505320015,1
1505320020,1
1505320025,1
1505320030,1
1505320035,1
1505320040,1
1505320045,1
1505320050,1
1505320055,1
1505320060,1
1505320065,1
1505320070,1
1505320075,1
1505320080,1
1505320085,1
1505320090,1
1505320095,1
1505320100,1
1505320105,1
1505320110,1
1505320115,1
