t,value
1505319215,49
1505319220,30
1505319225,10
1505319230,10
1505319235,9
1505319240,10
1505319245,16
1505319250,25
1505319255,25
1505319260,24
1505319265,25
1505319270,61
1505319275,98
1505319280,98
1505319285,97
1505319290,99
1505319295,62
1505319300,4
1505319305,5
1505319310,5
1505319315,5
1505319320,17
1505319325,49
1505319330,50
1505319335,49
1505319340,49
1505319345,42
1505319350,10
1505319355,9
1505319360,10
1505319365,10
1505319370,12
1505319375,25
1505319380,25
1505319385,25
1505319390,25
1505319395,46
1505319400,99
1505319405,99
1505319410,99
1505319415,98
1505319420,80
1505319425,5
1505319430,5
1505319435,5
1505319440,5
1505319445,11
1505319450,50
1505319455,49
1505319460,49
1505319465,50
1505319470,49
1505319475,9
1505319480,10
1505319485,10
1505319490,10
1505319495,12
1505319500,25
1505319505,24
1505319510,24
1505319515,25
1505319520,32
1505319525,98
1505319530,99
1505319535,99
1505319540,98
1505319545,99
1505319550,4
1505319555,5
1505319560,5
1505319565,5
1505319570,19
1505319575,49
1505319580,50
1505319585,49
1505319590,49
1505319595,40
1505319600,10
1505319605,9
1505319610,10
1505319615,10
1505319620,13
1505319625,25
1505319630,25
1505319635,25
1505319640,24
1505319645,32
1505319650,99
1505319655,99
1505319660,99
1505319665,99
1505319670,82
1505319675,5
1505319680,5
1505319685,5
1505319690,5
1505319695,9
1505319700,49
1505319705,49
1505319710,50
1505319715,50
1505319720,50
1505319725,10
1505319730,10
1505319735,10
1505319740,9
1505319745,10
1505319750,24
1505319755,24
1505319760,25
1505319765,24
1505319770,41
1505319775,99
1505319780,99
1505319785,99
1505319790,98
1505319795,88
1505319800,5
1505319805,5
1505319810,5
1505319815,5
1505319820,6
1505319825,49
1505319830,49
1505319835,49
1505319840,50
1505319845,49
1505319850,11
1505319855,9
1505319860,10
1505319865,9
1505319870,10
1505319875,22
1505319880,24
1505319885,24
1505319890,24
1505319895,25
1505319900,96
1505319905,98
1505319910,99
1505319915,99
1505319920,98
1505319925,5
1505319930,5
1505319935,5
1505319940,4
1505319945,5
1505319950,47
1505319955,49
1505319960,49
1505319965,50
1505319970,49
1505319975,15
1505319980,9
1505319985,10
1505319990,10
1505319995,10
1505320000,21
1505320005,25
1505320010,24
1505320015,24
1505320020,24
1505320025,88
1505320030,99
1505320035,99
1505320040,99
1505320045,99
1505320050,10
1505320055,5
1505320060,4
1505320065,5
1505320070,5
1505320075,43
1505320080,49
1505320085,49
1505320090,49
1505320095,50
1505320100,19
1505320105,10
1505320110,10
1505320115,10
