t,value
1504895129,23
1504895134,88
1504895139,15
1504895144,46
1504895149,12
1504895154,21
1504895159,85
1504895164,11
1504895169,48
1504895174,18
1504895179,22
1504895184,87
1504895189,18
1504895194,45
1504895199,13
1504895204,24
1504895209,82
1504895214,23
1504895219,42
1504895224,15
1504895229,23
1504895234,92
1504895239,30
1504895244,39
1504895249,18
1504895254,23
1504895259,91
1504895264,33
1504895269,38
1504895274,18
1504895279,21
1504895284,85
1504895289,19
1504895294,44
1504895299,21
1504895304,21
1504895309,79
1504895314,25
1504895319,40
1504895324,17
1504895329,23
1504895334,74
1504895339,35
1504895344,37
1504895349,20
1504895354,22
1504895359,86
1504895364,18
1504895369,35
1504895374,22
1504895379,21
1504895384,80
1504895389,26
1504895394,40
1504895399,25
1504895404,19
1504895409,75
1504895414,34
1504895419,37
1504895424,21
1504895429,21
1504895434,68
1504895439,42
1504895444,33
1504895449,23
1504895454,20
1504895459,78
1504895464,28
1504895469,31
1504895474,25
1504895479,19
1504895484,74
1504895489,33
1504895494,37
1504895499,18
1504895504,18
1504895509,68
1504895514,38
1504895519,37
1504895524,20
1504895529,18
1504895534,67
1504895539,42
1504895544,33
1504895549,22
1504895554,16
1504895559,69
1504895564,41
1504895569,34
1504895574,22
1504895579,20
1504895584,64
1504895589,43
1504895594,33
1504895599,23
1504895604,20
1504895609,62
1504895614,43
1504895619,32
1504895624,24
1504895629,20
1504895634,76
1504895639,50
1504895644,30
1504895649,25
1504895654,19
1504895659,72
1504895664,55
1504895669,27
1504895674,25
1504895679,19
1504895692,9
1504895697,45
1504895702,12
1504895707,36
1504895712,81
1504895717,14
1504895722,40
1504895727,11
1504895732,32
