t,value
1504881466,11
1504881471,24
1504881476,98
1504881481,5
1504881486,47
1504881491,14
1504881496,24
1504881501,96
1504881506,4
1504881511,49
1504881516,17
1504881521,24
1504881526,94
1504881531,8
1504881536,49
1504881541,10
1504881546,22
1504881551,86
1504881556,14
1504881561,46
1504881566,12
1504881571,24
1504881576,82
1504881581,25
1504881586,40
1504881591,16
1504881596,23
1504881601,89
1504881606,34
1504881611,37
1504881616,21
1504881621,21
1504881626,80
1504881631,27
1504881636,39
1504881641,18
1504881646,22
1504881651,85
1504881656,21
1504881661,42
1504881666,23
1504881671,20
1504881676,76
1504881681,32
1504881686,37
