t,value
1504881466,1
1504881471,1
1504881476,1
1504881481,1
1504881486,1
1504881491,1
1504881496,1
1504881501,1
1504881506,1
1504881511,1
1504881516,1
1504881521,1
1504881526,1
1504881531,1
1504881536,1
1504881541,1
1504881546,1
1504881551,1
1504881556,1
1504881561,1
1504881566,1
1504881571,1
1504881576,1
1504881581,1
1504881586,1
1504881591,1
1504881596,1
1504881601,1
1504881606,1
1504881611,1
1504881616,1
1504881621,1
1504881626,1
1504881631,1
1504881636,1
1504881641,1
1504881646,1
1504881651,1
1504881656,1
1504881661,1
1504881666,1
1504881671,1
1504881676,1
1504881681,1
1504881686,1
