t,value
1504883494,0.0
1504883499,4.0E-4
1504883504,7.199999999999999E-4
1504883509,0.0
1504883514,0.0
1504883519,0.0
1504883524,0.0
1504883529,0.0
1504883534,0.0
1504883539,0.0
1504883544,0.0
1504883549,0.0
1504883554,7.199999999999999E-4
1504883559,0.0
1504883564,0.0
1504883569,0.0
1504883574,0.0
1504883579,0.0
1504883584,0.0
1504883589,0.0
1504883594,0.0
1504883599,0.0
1504883604,4.761904761904762E-4
1504883609,0.0
1504883614,0.0
1504883619,0.0
1504883624,0.0
1504883629,7.142857142857143E-4
1504883634,0.0
1504883639,0.0
1504883644,0.0
1504883649,0.0
1504883654,4.8000000000000007E-4
1504883659,0.0
1504883664,0.0
1504883669,0.0
1504883674,0.0
1504883679,0.0
1504883684,0.0
1504883689,2.8000000000000003E-4
1504883694,7.0E-4
1504883699,0.0
1504883704,0.0
1504883709,0.0
1504883714,0.0
1504883719,0.0
1504883724,4.0E-4
1504883729,0.0
1504883734,0.0
1504883739,0.0
1504883744,0.0
