t,value
1504883494,2
1504883499,5
1504883504,19
1504883509,1
1504883514,10
1504883519,2
1504883524,5
1504883529,19
1504883534,1
1504883539,10
1504883544,2
1504883549,5
1504883554,19
1504883559,1
1504883564,10
1504883569,2
1504883574,5
1504883579,18
1504883584,1
1504883589,10
1504883594,2
1504883599,5
1504883604,20
1504883609,1
1504883614,9
1504883619,2
1504883624,5
1504883629,20
1504883634,1
1504883639,9
1504883644,2
1504883649,5
1504883654,19
1504883659,1
1504883664,10
1504883669,2
1504883674,5
1504883679,19
1504883684,1
1504883689,9
1504883694,2
1504883699,5
1504883704,20
1504883709,1
1504883714,10
1504883719,2
1504883724,5
1504883729,19
1504883734,1
1504883739,9
1504883744,2
