t,value
1504896902,1
1504896907,1
1504896912,1
1504896917,1
1504896922,1
1504896927,1
1504896932,1
1504896937,1
1504896942,1
1504896947,1
1504896952,1
1504896957,1
1504896962,1
1504896967,1
1504896972,1
1504896977,1
1504896982,1
1504896987,1
1504896992,1
1504896997,1
1504897002,1
1504897007,1
1504897012,1
1504897017,1
1504897022,1
1504897027,1
1504897032,1
1504897037,1
1504897042,1
1504897047,1
1504897052,1
1504897057,1
1504897062,1
1504897067,1
1504897072,1
1504897077,1
1504897082,1
1504897087,1
1504897092,1
1504897097,1
1504897102,1
1504897107,1
1504897112,1
1504897117,1
1504897122,1
1504897127,1
1504897132,1
